question,answer
Pluto size?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
How big is the dwarf planet Pluto?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
Is Pluto bigger than Earth's moon?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet. (No, it's smaller than our Moon)."
What's Pluto's diameter?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
Tell me about Pluto's size.,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
How does Pluto's size compare to a planet?,"Pluto is much smaller than the major planets, with a diameter of about 2,377 km (1,477 miles). It is roughly 1/6 the width of Earth and is classified as a dwarf planet."
How big is the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
What's the Sun's size?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
How large is the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
What's the diameter of the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
Sun size?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
How big is our star?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
What's the size of the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
How does the Sun's size compare to Earth?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
Tell me about the Sun's size.,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
What are the dimensions of the Sun?,"The Sun is a star with a diameter of about 1.39 million kilometers (864,000 miles). It is so vast that about 1.3 million Earths could fit inside it."
"at's Mercury's temperature?""","The temperature on Mercury varies wildly from 430°C in sunlight to -180°C in shadow, all because it has almost no atmosphere to retain heat."
What is Mercury's temperature?,Mercury's surface can be scorching hot at 430°C during its long day and freezing cold at -180°C during its long night due to minimal atmospheric insulation.
"hat's Mercury's temperature?""","Temperatures on Mercury range from a blistering 430°C to a frigid -180°C, making it a planet of dramatic contrasts in thermal conditions."
What is Mercury's temperature?,"Mercury bakes at 430°C when facing the sun and freezes at -180°C when turned away, thanks to its inability to hold onto atmospheric heat."
What is Mercury's temperature?,"The thermometer on Mercury would swing from 430°C to -180°C, representing some of the most extreme temperature variations in our solar system."
What is Venus's temperature?,"Venus experiences constant surface temperatures around 465°C day and night, year-round, because its thick atmosphere traps heat incredibly efficiently."
What is Venus's temperature?,"The temperature on Venus is consistently around 465°C everywhere on the planet, maintained by a dense atmosphere of carbon dioxide that creates extreme greenhouse heating."
What is Venus's temperature?,"Venus's surface is incredibly hot at approximately 465°C, a result of the thick clouds and carbon dioxide atmosphere that trap solar energy like a blanket."
What's Venus's temperature?,"At 465°C, Venus has the highest surface temperature of any planet in our solar system, caused by a runaway greenhouse effect from its dense atmosphere."
What is Venus's temperature?,"The surface of Venus is a constant 465°C, regardless of time or location, as its thick atmosphere distributes heat evenly around the planet."
What is Venus's temperature?,"Venus averages 465°C on its surface, making it the solar system's hottest planet - the result of extreme greenhouse warming from its carbon dioxide clouds."
What's Earth's temperature?,"Earth has an average global temperature of about 15°C (59°F), but this varies widely from as low as -89°C in Antarctica to over 50°C in deserts, moderated by our atmosphere and oceans."
What is earth's temperature?,"With an average of 15°C, Earth's temperature is just right for liquid water - not too hot like Venus, not too cold like Mars - thanks to our protective atmosphere."
What is Earth's temperature?,"Earth's surface temperature averages 15°C, but varies dramatically from place to place and season to season, influenced by our atmosphere, oceans, and axial tilt."
What is Earth's temperature?,"The temperature on Earth is typically around 15°C globally, but local conditions can range from frigid polar cold to scorching desert heat throughout the year."
What's Earth's temperature?,Earth maintains a habitable average temperature of 15°C through a balanced greenhouse effect that traps just enough heat without causing runaway warming.
What is Earth's temperature?,"Average Earth temperature is 15°C, with variations from -89°C to 56°C recorded, all moderated by our atmosphere's ability to distribute heat around the planet."
What is Mars's temperature?,"Mars has an average temperature of about -63°C (-81°F), but this varies from as high as 20°C (70°F) at the equator during summer to as low as -125°C (-193°F) at the poles during winter."
What's Mars's temperature?,"The average temperature on Mars is around -63°C, though it can reach a pleasant 20°C near the equator in summer and plunge to -125°C at the poles in winter."
What's mars's temperature?,"Mars-is generally cold with an average temperature of -63°C, but experiences significant daily and seasonal variations due to its thin atmosphere."
What is Mars temperature?,"Temperatures on Mars average -63°C, ranging from briefly above freezing at noon on summer days to extremely cold nights and winters because of its thin CO2 atmosphere."
What is Mars's temperature?,"Mars has a cold average temperature of -63°C, with highs around 20°C in summer at the equator and lows down to -125°C at the polar caps in winter."
What is Mars's temperature?,"The Red Planet averages -63°C, but daytime temperatures near the equator can occasionally reach 20°C, while polar winters drop to -125°C or lower."
What's Mars's temperature?,"Mars-is quite cold overall at -63°C average, but its thin atmosphere allows for rapid temperature swings from slightly above freezing to extremely frigid conditions."
What is mars's temperature?,"Temperatures on Mars vary widely from about 20°C on summer afternoons to -125°C on winter nights, with an average around -63°C across the planet."
What is Mars's temperature?,"With an average of -63°C, Mars is a cold desert world where temperatures can briefly climb above freezing but typically remain well below zero."
What is Mars's temperature?,"Mars maintains an average temperature of -63°C, though surface readings can range from relatively mild to intensely cold depending on location and season."
What is Jupiter's temperature?,"While Jupiter's upper atmosphere is frigid at -145°C, internal temperatures may reach over 24,000°C at the center from gravitational compression and leftover formation heat."
What's Jupiter's temperature?,"At its cloud tops, Jupiter is -145°C, but temperatures increase with depth, possibly reaching tens of thousands of degrees in the dense metallic hydrogen interior."
What is Jupiters temperature?,"Jupiter has cold cloud layers at -145°C, but the planet generates internal heat, causing temperatures to rise to extreme levels deep within its atmosphere."
What is Jupiter's temperature?,"Jupiter's upper atmosphere is a chilly -145°C, but temperatures increase steadily downward, reaching extreme heat in the planet's dense interior."
What is Jupiter's temperature?,"Cloud-level temperatures on Jupiter are about -145°C, but deeper layers become progressively hotter, with the core possibly reaching over 20,000°C."
What is Saturn's temperature?,"Saturn's cloud tops average about -178°C (-288°F), but like Jupiter, temperatures increase with depth. The planet also generates internal heat from helium rain and gravitational compression."
